TITLE,ASSIGNMENT,RACE/ETHNICITY,GENDER,AGE,YEARS_IN_SERVICE,DEGREE,CITY_RESIDENT?,AGENCY
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,47,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,45,21,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,38,10,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,45,15,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,OTHER HISPANIC,MALE,41,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,35,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,47,18,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,39,17,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,41,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,46,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,32,8,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,51,25,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,28,7,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,44,7,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,36,12,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,43,18,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,FEMALE,38,5,,YES,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,46,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,KOREAN,MALE,45,14,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,42,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,49,24,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,44,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,FEMALE,40,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,39,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,38,18,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,36,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,FEMALE,45,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,48,17,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,OTHER HISPANIC,MALE,46,,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,OTHER HISPANIC,MALE,53,14,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,43,20,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,33,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,43,21,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,41,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,44,21,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,43,18,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,44,16,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,FEMALE,39,16,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,43,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,48,21,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,CHINESE,MALE,43,10,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,49,24,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,47,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,47,11,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,41,17,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,60,34,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,WHITE,MALE,34,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,47,26,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER (EID),HOMICIDE SECTION,AFRICAN AMERICAN,MALE,38,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,40,15,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE SERGEANT,HOMICIDE SECTION,AFRICAN AMERICAN,FEMALE,39,20,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,OTHER HISPANIC,MALE,43,21,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,WHITE,MALE,45,21,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,WHITE,MALE,46,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,WHITE,MALE,51,27,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,45,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,AFRICAN AMERICAN,FEMALE,36,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,WHITE,MALE,45,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,AFRICAN AMERICAN,MALE,49,27,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,HOMICIDE SECTION,WHITE,FEMALE,33,11,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE LIEUTENANT,HUMAN RESOURCES SEC,WHITE,MALE,44,20,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,HUMAN RESOURCES SEC,WHITE,MALE,43,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE MAJOR/DIRECTOR,HUMAN RESOURCES SEC,WHITE,MALE,47,17,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,44,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,OTHER HISPANIC,FEMALE,32,4,,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,44,16,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,45,19,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,MALE,42,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,WHITE,MALE,43,5,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,WHITE,MALE,45,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,46,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,MALE,47,15,A.A. COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,MALE,46,22,HIGH SCHOOL GED / EQUIVALENCY,YES,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,MALE,46,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,OTHER HISPANIC,MALE,39,8,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,38,12,HIGH SCHOOL GED / EQUIVALENCY,YES,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,MALE,43,6,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,32,11,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,54,22,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,MALE,38,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,44,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,41,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,49,30,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,HUMAN RESOURCES SEC,AFRICAN AMERICAN,MALE,41,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,HUMAN RESOURCES SEC,WHITE,MALE,47,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,HUMAN RESOURCES SEC,AFRICAN AMERICAN,FEMALE,32,10,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,HUMAN RESOURCES SEC,WHITE,MALE,43,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT EID,HUMAN RESOURCES SEC,AFRICAN AMERICAN,MALE,31,6,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
CAPTAIN,INFORMATION SERVICES,WHITE,FEMALE,44,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE MAJOR/DIRECTOR,INFORMATION SERVICES,WHITE,FEMALE,51,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,INFORMATION SERVICES,AFRICAN AMERICAN,FEMALE,45,20,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE LIEUTENANT,INFORMATION TECHNOLOGY SECTION,AFRICAN AMERICAN,FEMALE,37,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INFORMATION TECHNOLOGY SECTION,OTHER HISPANIC,MALE,35,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INFORMATION TECHNOLOGY SECTION,WHITE,MALE,38,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE LIEUTENANT,INTERNAL AFFAIRS DIV,WHITE,MALE,44,22,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,41,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE LIEUTENANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,48,20,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,47,24,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE LIEUTENANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,50,30,MASTERS COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT EID,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,45,25,HGH SCHOOL GRADUATE,NO,BPD
POLICE MAJOR/DIRECTOR,INTERNAL AFFAIRS DIV,WHITE,MALE,40,18,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,MALE,39,14,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,FEMALE,41,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,45,23,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,MALE,41,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,35,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,MALE,46,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,MALE,49,19,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,33,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,MALE,57,29,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,MALE,50,13,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,45,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,28,7,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,36,14,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,43,11,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,39,8,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,MALE,32,8,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,MALE,58,14,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,40,21,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,43,23,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,34,7,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,MALE,42,19,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,59,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,46,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,45,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,OTHER HISPANIC,MALE,45,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,42,14,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,FEMALE,33,13,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,43,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,39,13,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,FEMALE,44,20,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER (EID),INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,34,13,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER (EID),INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,32,10,HGH SCHOOL GRADUATE,YES,BPD
POLICE SERGEANT,INTERNAL AFFAIRS DIV,WHITE,MALE,45,21,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,44,21,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,INTERNAL AFFAIRS DIV,WHITE,MALE,42,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,INTERNAL AFFAIRS DIV,WHITE,MALE,64,29,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE SERGEANT,INTERNAL AFFAIRS DIV,WHITE,MALE,41,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,42,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,36,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,NORTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,24,2,,YES,BPD
POLICE SERGEANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,FEMALE,45,24,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,MALE,40,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT EID,INTERNAL AFFAIRS DIV,WHITE,MALE,47,22,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE COLONEL,INVESTIGATIONS & INTELL DIV,AFRICAN AMERICAN,MALE,54,24,HGH SCHOOL GRADUATE,NO,BPD
POLICE LIEUTENANT,INVESTIGATIONS & INTELL DIV,AFRICAN AMERICAN,FEMALE,44,24,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,INVESTIGATIONS & INTELL DIV,WHITE,MALE,47,18,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INVESTIGATIONS & INTELL DIV,WHITE,MALE,44,21,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,INVESTIGATIONS & INTELL DIV,AFRICAN AMERICAN,FEMALE,39,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INVESTIGATIONS & INTELL DIV,WHITE,MALE,38,12,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INVESTIGATIONS & INTELL DIV,AFRICAN AMERICAN,FEMALE,49,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,INVESTIGATIONS & INTELL DIV,WHITE,FEMALE,42,20,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,INVESTIGATIONS & INTELL DIV,AFRICAN AMERICAN,FEMALE,53,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER (EID),INVESTIGATIONS & INTELL DIV,OTHER HISPANIC,MALE,36,12,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,INVESTIGATIONS & INTELL DIV,AFRICAN AMERICAN,MALE,46,23,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE LIEUTENANT,LIGHT DUTY UNIT,WHITE,MALE,48,26,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,MALE,34,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,36,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,FEMALE,38,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,FEMALE,36,14,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,32,7,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,37,10,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,40,9,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,49,16,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,OTHER HISPANIC,FEMALE,43,13,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,MALE,51,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,38,7,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,MALE,31,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,FEMALE,46,18,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,OTHER HISPANIC,MALE,41,7,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,OTHER HISPANIC,FEMALE,45,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,MALE,35,8,5 YEARS COLLEGE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,31,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,MALE,32,5,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,42,15,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,MALE,36,8,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,OTHER HISPANIC,MALE,45,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,MALE,53,16,HIGH SCHOOL GED / EQUIVALENCY,YES,BPD
POLICE OFFICER,LIGHT DUTY UNIT,OTHER HISPANIC,MALE,42,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,OTHER HISPANIC,MALE,33,4,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,OTHER HISPANIC,MALE,44,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,FEMALE,40,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,46,18,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,AFRICAN AMERICAN,MALE,47,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,FEMALE,45,4,,NO,BPD
POLICE OFFICER,LIGHT DUTY UNIT,WHITE,MALE,27,3,,YES,BPD
POLICE SERGEANT,LIGHT DUTY UNIT,WHITE,MALE,43,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,MANAGEMENT SERVICES DIV,WHITE,MALE,55,33,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,MANAGEMENT SERVICES DIV,OTHER HISPANIC,MALE,45,12,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,MANAGEMENT SERVICES DIV,WHITE,MALE,60,38,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,MANAGEMENT SERVICES DIV,AFRICAN AMERICAN,FEMALE,33,8,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,MEDIA RELATIONS SECTION,WHITE,FEMALE,39,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,MEDIA RELATIONS SECTION,AFRICAN AMERICAN,MALE,39,11,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,MEDIA RELATIONS SECTION,AFRICAN AMERICAN,FEMALE,43,21,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,MEDIA RELATIONS SECTION,AFRICAN AMERICAN,MALE,29,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,MEDIA RELATIONS SECTION,AFRICAN AMERICAN,FEMALE,38,12,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,MEDIA RELATIONS SECTION,WHITE,MALE,35,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,MEDIA RELATIONS SECTION,AFRICAN AMERICAN,MALE,47,20,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
DEPUTY POLICE COMMISSIONER,NEIGHBORHOOD PATROL BUREAU,WHITE,MALE,43,25,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE LIEUTENANT,NEIGHBORHOOD PATROL BUREAU,WHITE,MALE,52,27,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,NEIGHBORHOOD PATROL BUREAU,PUERTO RICAN,MALE,44,21,HGH SCHOOL GRADUATE,YES,BPD
